9,"CIS 105 Explorations Computing","Overview of basic ideas and areas of computer science: includes algorithms, hardware, machine organization, programming languages, networks, artificial intelligence, and associated ethical issues.",4
10,"CIS 110 Digital Info Process","Introduction to information technology (IT), the study of computer-based information systems. Basics of the Internet and World Wide Web. Students create websites using XHTML and CSS.",4
11,"CIS 110 Fluency with Info Tech","Introduction to information technology (IT), the study of computer-based information systems. Basics of the Internet and World Wide Web. Students create websites using XHTML and CSS.",4
12,"CIS 111 Intro Web Programming","Project-based approach to learning computer programming by building interactive web pages using JavaScript and XHTML. Programming concepts including structured and object-oriented program design. CIS 110 recommended.",4
13,"CIS 111 Web Programming","Project-based approach to learning computer programming by building interactive web pages using JavaScript and XHTML. Programming concepts including structured and object-oriented program design. CIS 110 recommended.",4
14,"CIS 115 Multimedia on the Web","Intermediate web programming with an emphasis on multimedia (graphics, audio, video). Uses JavaScript, HTML5, and graphics to build interactive web pages.",4
15,"CIS 115 Multimedia Web Program","Intermediate web programming with an emphasis on multimedia (graphics, audio, video). Uses JavaScript, HTML5, and graphics to build interactive web pages.",4
16,"CIS 122 Intro Prg & Algorithms","Computational problem solving, algorithm design, data structures, and programming using a multi-paradigm programming language. Introduces techniques for program design, testing, and debugging.",4
17,"CIS 122 Intro Prg & Prob Solv","Computational problem solving, algorithm design, data structures, and programming using a multi-paradigm programming language. Introduces techniques for program design, testing, and debugging.",4
18,"CIS 170 Science of Computing","This course is an introduction to the field of computer science. It will be oriented to students who are considering a CIS major, but should be of interest to anyone who is curious about what computers are and how they are used in a wide variety of areas that impact our lives today. Some of the topics we will examine are: What is an algorithm? How do computer scientists evaluate the correctness and efficiency of algorithms? What sort of algorithms do scientists use to compare DNA and protein sequences? How are large databases organized? How do scientists access this information over the Internet? Although the topics are fairly technical, the lectures and projects in this course will be accessible to anyone with the basic background in math (the equivalent of Mth 112) Most lab projects will use a programming language named Ruby. Ruby is open source software that can be downloaded and installed on any system. Ruby is included with Mac OS/X 10.4. Instructions for installing it on Windows systems can be found on the class web page.",4
19,"CIS 199 Sp St Apps with Impact"," ",4
20,"CIS 199 Sp St Cloud Apps"," ",1
21,"CIS 199 Sp St Create Droid App","This course focuses on building apps for Android devices (e.g., phones, tablets) using Google's App Inventor. Course work will include several assignments intended to teach app development using App Inventor followed by a final project of the student's choosing. Android phones will be provided to registered students. The course will be both fun and practical for anyone wishing to learn mobile app development.",4
22,"CIS 199 Sp St Ethics Info Age","Why can’t I put that on Facebook? I can say whatever I want on the Internet! Questions and comments like these are uttered daily by youth around the U.S. This course will explore the range of ethical questions and social impacts arising from the development and use of new information technologies (e.g., social networks). Discussions regarding questions of privacy, intellectual property, and freedom of speech will be included as we consider several ethical theories that provide students with basic methods for addressing these questions.",3
23,"CIS 199 Sp St Intro to Apps"," ",4
24,"CIS 199 Sp St Make Break Codes"," ",3
25,"CIS 199 Sp St Make/Break Codes"," ",3
26,"CIS 199 Sp St Managing Soc Med"," ",1
27,"CIS 199 Sp St Softw Carpentry"," ",1
28,"CIS 210 Computer Science I","CIS 210 is the first course in the Computer and Information Science major sequence. The primary objective of this course is to introduce the basic concepts and practices of computer science. The core ideas of computer programming will be explored using the Python programming language. We will cover fundamental approaches to problem solving and the creation of software solutions as well as introduce the notions of data abstraction and object-oriented programming.",4
29,"CIS 211 Computer Science II","This course continues instruction in object-oriented design and programming. Class hierarchies, inheritance, abstract classes, and interfaces are used to represent the structure of a problem domain and allow reuse and specialization of methods and instance variables by subclasses. Several important 'patterns,' i.e., ways of using the language, are introduced to facilitate problem solving in an object-oriented context. A significant programming project is developed over a series of lab assignments.",4
30,"CIS 212 Computer Science III","The course introduces the concept of abstract data type, and several abstract data types, e.g., lists, stacks, queues, binary trees, are defined and implemented. The course also covers basics of algorithm design and analysis. Recursive and iterative approaches to problem solving are covered, with means for developing and analyzing the resultant algorithms. Notions of correctness proof and Big-O time complexity are explored.",4
31,"CIS 313 Interm Data Structures","Design and analysis of data structures as means of engineering efficient software  attention to data abstraction and encapsulation. Lists, trees, heaps, stacks, queues, dictionaries, priority queues.",4
32,"CIS 314 Computer Organization","Introduction to computer organization and instruction-set architecture--digital logic design, binary arithmetic, design of central processing unit and memory, machine-level programming.",4
33,"CIS 315 Intermed Algorithms","Algorithm design, worst-case and average-behavior analysis, correctness, computational complexity.",4
34,"CIS 323 Data Struc Lab","Programming laboratory. Data structures and object-oriented implementation.",2
35,"CIS 330 C/C++ and Unix","Practical software design and programming activities in a C/C++ and Unix environment, with emphasis on the details of C/C++ and good programming style and practices.",4
36,"CIS 399 Sp St iPhone/iPad Apps","Each student will gain an understanding of the iOS development platform and develop an iOS-based application.",4
37,"CIS 399 Sp St Mob App Dev/Andr"," ",4
38,"CIS 399 Sp St Programming Chig"," ",2
39,"CIS 399 Sp St Unix System Admn"," ",4
40,"CIS 399 Sp St Web Engineering"," ",4
41,"CIS 401 Research"," ","1-21"
42,"CIS 403 Thesis"," ","1-12"
43,"CIS 404 Internship"," ","1-4"
44,"CIS 405 Reading"," ","1-12"
45,"CIS 406 Field Studies"," ","1-4"
46,"CIS 407 Sem Career/Internships","Opportunity to study in greater depth specific topics arising out of other courses.",2
47,"CIS 407 Sem Game Theory","Opportunity to study in greater depth specific topics arising out of other courses.",2
48,"CIS 407 Sem Mobile Apps","Opportunity to study in greater depth specific topics arising out of other courses.",2
49,"CIS 407 Sem Online Softwr Eng","Opportunity to study in greater depth specific topics arising out of other courses.",2
50,"CIS 407 Sem Prog Competition","Opportunity to study in greater depth specific topics arising out of other courses.","1-2"
51,"CIS 407 Sem Research Colloq","Opportunity to study in greater depth specific topics arising out of other courses.",1
52,"CIS 407 Sem Robotics","Opportunity to study in greater depth specific topics arising out of other courses.",2
53,"CIS 407 Sem Scientific Res","Opportunity to study in greater depth specific topics arising out of other courses.",2
54,"CIS 407 Sem Secure Development","Opportunity to study in greater depth specific topics arising out of other courses.",2
55,"CIS 407 Sem Soft Tools Science","This course provides a practical overview of research programming and tools, including use of the University of Oregon’s local high-performance computing cluster, ACISS. The class is intended for researchers in any science field looking to gain technical proficiency with scientific programming and tools. Students are encouraged to use their own research problems to direct their learning. At the end of the class, students will have been introduced to technical skills useful in scientific research including the usage of the Unix command-line, basic python scripting, and the ability to submit jobs to the ACISS cluster.",2
56,"CIS 407 Sem Women in Tech","Opportunity to study in greater depth specific topics arising out of other courses.",1
57,"CIS 409 Prac Supv Consulting","The student assists other students who are enrolled in introductory programming classes. For each four hours of scheduled weekly consulting, the student is awarded 1 credit. R for maximum of 4 credits.","1-2"
58,"CIS 410 Adv Funcational Prog","New courses are offered under this number, the first year or two, before final definition of the courses and permanent approval by the University Senate and Oregon University System.",4
59,"CIS 410 Adv Systems Security","New courses are offered under this number, the first year or two, before final definition of the courses and permanent approval by the University Senate and Oregon University System.",4
60,"CIS 410 Cryptography","New courses are offered under this number, the first year or two, before final definition of the courses and permanent approval by the University Senate and Oregon University System.",4
61,"CIS 410 Global Dist S/W Dev","New courses are offered under this number, the first year or two, before final definition of the courses and permanent approval by the University Senate and Oregon University System.",4
62,"CIS 410 Graphic Prog in Python","New courses are offered under this number, the first year or two, before final definition of the courses and permanent approval by the University Senate and Oregon University System.",4
63,"CIS 410 Machine Learning","New courses are offered under this number, the first year or two, before final definition of the courses and permanent approval by the University Senate and Oregon University System.",4
64,"CIS 410 Mobile Netwrk/Security","New courses are offered under this number, the first year or two, before final definition of the courses and permanent approval by the University Senate and Oregon University System.",4
65,"CIS 410 Online Social Network","New courses are offered under this number, the first year or two, before final definition of the courses and permanent approval by the University Senate and Oregon University System.",4
66,"CIS 410 Parallel Computing","New courses are offered under this number, the first year or two, before final definition of the courses and permanent approval by the University Senate and Oregon University System.",4
67,"CIS 410 Peer Advising","New courses are offered under this number, the first year or two, before final definition of the courses and permanent approval by the University Senate and Oregon University System.","1-2"
68,"CIS 410 Probabilistic Methods","New courses are offered under this number, the first year or two, before final definition of the courses and permanent approval by the University Senate and Oregon University System.",4
69,"CIS 410 Prog Analysis & Trans","New courses are offered under this number, the first year or two, before final definition of the courses and permanent approval by the University Senate and Oregon University System.",4
70,"CIS 410 Sched Distrib Systems","New courses are offered under this number, the first year or two, before final definition of the courses and permanent approval by the University Senate and Oregon University System.",4
71,"CIS 410 Secure Development","New courses are offered under this number, the first year or two, before final definition of the courses and permanent approval by the University Senate and Oregon University System.",4
72,"CIS 410 Visualization","New courses are offered under this number, the first year or two, before final definition of the courses and permanent approval by the University Senate and Oregon University System.",4
73,"CIS 413 Adv Data Structures","Complex structures, storage management, sorting and searching, hashing, storage of texts, and information compression.",4
74,"CIS 415 Operating Systems","Principles of operating system design. Process and memory management, concurrency, scheduling, input-output and file systems, security.",4
75,"CIS 420 Automata Theory","Provides a mathematical basis for computability and complexity. Models of computation, formal languages, Turing machines, solvability. Nondeterminism and complexity classes.",4
76,"CIS 422 Software Method I","Technical and nontechnical aspects of software development, including specification, planning, design, development, management and maintenance of software projects. Student teams complete projects.",4
77,"CIS 423 Software Method II","Application of concepts and methodologies covered in CIS 422/522. Student teams complete a large system design and programming project. Final system specification, test plan, user documentation, and system walk throughs.",4
78,"CIS 425 Princ of Program Lang","Syntax and semantics. Scope rules, environments, stores, denoted and expressed values, procedures, and parameters. Definitional interpreters. Types, overloading, parametric polymorphism, and inheritance. Varieties of abstraction.",4
79,"CIS 427 Intro to Logic","Basic notions of logic: propositional logic, first-order logic, Hilbert systems, sequent calculus, natural deduction. Soundness, completeness, undecidability. Current research in logic frameworks, automated deduction, Curry-Howard isomorphism.",4
80,"CIS 429 Computer Architecture","RISC (reduced instruction-set computer) and CISC (complex instruction-set computer) design, storage hierarchies, high-performance processor design, pipelining, vector processing, networks, performance analysis.",4
81,"CIS 432 Intro to Networks","Principles of computer network design. Link technologies, packet switching, routing, inter-networking, reliability. Internet protocols. Programming assignments focus on protocol design.",4
82,"CIS 433 Comp & Netwrk Security","Security for various aspects of computers and networks. Elementary cryptography, program security, trusted operating systems, network security, privacy, and legal and ethical issues.",4
83,"CIS 441 Intro Comput Graphics","Introduction to the hardware, geometrical transforms, interaction techniques, and shape representation schemes that are important in interactive computer graphics. Programming assignments using contemporary graphics hardware and software systems.",4
84,"CIS 443 User Interfaces","Introduction to user interface software engineering. Emphasis on theory of interface design, understanding the behavior of the user, and implementing programs on advanced systems.",4
85,"CIS 445 Modeling & Simulation","Theoretical foundations and practical problems for the modeling and computer simulation of discrete and continuous systems. Simulation languages, empirical validation, applications in computer science.",4
86,"CIS 451 Data-Base Processing","Fundamental concepts of DBMS. Data modeling, relational models and normal forms. File organization and index structures. SQL, embedded SQL, and concurrency control.",4
